07:19:58 [INFO] Found netvar: m_flSimulationTime => 0x268
07:19:58 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x3A90
07:19:58 [INFO] Found netvar: m_angEyeAnglesX => 0xB37C
07:19:58 [INFO] Found netvar: m_angEyeAnglesY => 0xB380
07:19:58 [INFO] Found netvar: m_flNextAttack => 0x2D70
07:19:58 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
07:19:58 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28BC
07:19:58 [INFO] Found netvar: m_bStartedArming => 0x33F0
07:19:58 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
07:19:58 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
07:19:58 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
07:19:58 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
07:19:58 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
07:19:58 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
07:19:58 [INFO] Finished netvar scanning: 85/85 items successful
07:28:13 [INFO] Opening target process: csgo.exe
07:28:13 [INFO] Starting signature scanning: 57 items
07:28:13 [INFO] Found signature: dwClientState => 0x58EFE4
07:28:13 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
07:28:13 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
07:28:13 [INFO] Found signature: dwClientState_Map => 0x28C
07:28:13 [INFO] Found signature: dwClientState_MapDirectory => 0x188
07:28:13 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
07:28:13 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
07:28:13 [INFO] Found signature: dwClientState_State => 0x108
07:28:13 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
07:28:13 [INFO] Found signature: clientstate_delta_ticks => 0x174
07:28:13 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
07:28:13 [INFO] Found signature: clientstate_choked_commands => 0x4D30
07:28:13 [INFO] Found signature: clientstate_net_channel => 0x9C
07:28:13 [INFO] Found signature: dwEntityList => 0x4D9FBD4
